1	1
10	10
100	100
10july	10juli
11	11
11th	11th
12	12
12023	12023
13	13
13th	13th
14	14
14august	14august
14september	14septemb
15	15
150	150
15april	15april
15th	15th
16	16
17	17
17th	17th
18	18
18th	18th
19	19
1900s	1900
1968	1968
1993	1993
1st	1st
2	2
20	20
2010	2010
2013	2013
2016	2016
2018	2018
2019	2019
2020	2020
2021	2021
2022	2022
2023	2023
2024	2024
2077	2077
21	21
21janury	21januri
22	22
22august	22august
23	23
23january	23januari
24	24
24june	24june
25	25
25october	25octob
26	26
27	27
28	28
29	29
2d	2d
2nd	2nd
3	3
30	30
3060	3060
31	31
318	318
3june	3june
3rd	3rd
3yearold	3yearold
4	4
40	40
488	488
4th	4th
5	5
56	56
5k	5k
5minute	5minut
6	6
6october	6octob
7	7
7november	7novemb
8	8
8th	8th
9	9
95	95
9october	9octob
9th	9th
abilities	abil
ability	abil
able	abl
about	about
above	abov
abroad	abroad
absence	absenc
absolute	absolut
absolutely	absolut
absolutley	absolutley
absorbed	absorb
abstract	abstract
abuse	abus
ac	ac
academic	academ
accents	accent
accept	accept
acceptance	accept
accepted	accept
accepting	accept
access	access
accessible	access
accessories	accessori
accident	accid
accidents	accid
accomodate	accomod
accomplish	accomplish
accomplished	accomplish
accomplishing	accomplish
accomplishment	accomplish
according	accord
account	account
accountability	account
accounts	account
accuracy	accuraci
achieve	achiev
achieved	achiev
achievement	achiev
achievements	achiev
achieves	achiev
achieving	achiev
acknowledge	acknowledg
acoustic	acoust
acquire	acquir
acquired	acquir
across	across
acrylic	acryl
act	act
acted	act
acting	act
action	action
actions	action
activate	activ
active	activ
actively	activ
activism	activ
activist	activist
activists	activist
activities	activ
activity	activ
actors	actor
actress	actress
acts	act
actually	actual
ad	ad
adaptable	adapt
adapted	adapt
adapting	adapt
add	add
added	ad
addictive	addict
adding	ad
addition	addit
additional	addit
address	address
addresses	address
adds	add
adhere	adher
adjustable	adjust
adjusting	adjust
adjustment	adjust
administration	administr
admirable	admir
admiration	admir
admire	admir
admired	admir
admires	admir
admiring	admir
admitting	admit
adopt	adopt
adopted	adopt
adopting	adopt
adoption	adopt
adorable	ador
adore	ador
adpot	adpot
adrenaline	adrenalin
ads	ad
adulthood	adulthood
advance	advanc
advanced	advanc
advantage	advantag
adventure	adventur
adventures	adventur
adventurous	adventur
advice	advic
adviceassistance	adviceassist
advise	advis
advocacy	advocaci
advocates	advoc
aerial	aerial
aerosmith	aerosmith
aesthetic	aesthet
affairs	affair
affect	affect
affected	affect
affecting	affect
affects	affect
affordable	afford
